time, lat [deg], lng [deg], alt [m]
2015-06-13 07:19:18,39.657046,-77.934192,197.815200
2015-06-13 07:20:32,39.657041,-77.934150,177.698400
2015-06-13 07:21:41,39.657046,-77.934160,178.917600
2015-06-13 07:22:55,39.657004,-77.934160,180.746400
2015-06-13 07:24:09,39.657020,-77.934181,189.890400
2015-06-13 07:25:23,39.656994,-77.934160,180.746400
2015-06-13 07:26:38,39.657036,-77.934139,182.880000
2015-06-13 07:27:51,39.657004,-77.934160,190.804800
2015-06-13 07:29:05,39.657020,-77.934129,178.917600
2015-06-13 07:30:19,39.657067,-77.934160,177.698400
2015-06-13 07:32:42,39.657036,-77.934181,179.832000
2015-06-13 07:33:56,39.656994,-77.934171,187.756800
2015-06-13 07:36:24,39.657041,-77.934192,186.842400
2015-06-13 07:37:39,39.656994,-77.934202,188.976000
2015-06-13 07:38:52,39.657057,-77.934192,180.746400
2015-06-13 07:42:34,39.657036,-77.934181,185.928000
2015-06-13 07:45:03,39.657067,-77.934181,183.794400
2015-06-13 07:46:16,39.657025,-77.934160,185.928000
2015-06-13 07:47:30,39.657083,-77.934139,177.698400
2015-06-13 07:49:58,39.657036,-77.934150,180.746400
2015-06-13 07:51:12,39.657052,-77.934181,186.842400
2015-06-13 07:52:26,39.657067,-77.934160,176.784000
2015-06-13 07:54:54,39.657088,-77.934139,172.821600
2015-06-13 07:56:08,39.657046,-77.934139,177.698400
2015-06-13 07:57:23,39.657052,-77.934160,174.955200
2015-06-13 07:59:50,39.657030,-77.934171,179.832000
2015-06-13 08:03:33,39.657052,-77.934139,179.832000
2015-06-13 08:07:14,39.657052,-77.934171,184.708800
2015-06-13 08:08:28,39.657094,-77.934171,184.708800
2015-06-13 08:09:42,39.657078,-77.934129,184.708800
2015-06-13 08:13:24,39.657030,-77.934160,174.955200
2015-06-13 08:14:38,39.657052,-77.934129,194.767200
2015-06-13 08:17:05,39.652515,-77.920194,1056.741600
2015-06-13 08:18:19,39.646666,-77.909998,1485.900000
2015-06-13 08:19:33,39.640828,-77.897513,1886.712000
2015-06-13 08:20:47,39.633792,-77.886067,2210.714400
2015-06-13 08:22:01,39.627975,-77.875892,2549.956800
2015-06-13 08:23:15,39.623953,-77.864499,2910.840000
2015-06-13 08:24:29,39.621139,-77.853494,3328.720800
2015-06-13 08:25:43,39.619601,-77.843035,3784.701600
2015-06-13 08:26:57,39.619165,-77.832734,4251.655200
2015-06-13 08:28:11,39.618734,-77.820648,4747.869600
2015-06-13 08:29:25,39.617905,-77.808939,5188.915200
2015-06-13 08:30:39,39.616015,-77.797283,5612.892000
2015-06-13 08:31:53,39.614072,-77.787591,6020.714400
2015-06-13 08:33:09,39.611814,-77.777049,6441.643200
2015-06-13 08:34:22,39.609200,-77.766453,6849.770400
2015-06-13 08:35:35,39.607126,-77.756488,7302.703200
2015-06-13 08:36:14,39.607126,-77.756488,7302.703200
2015-06-13 08:36:51,39.604653,-77.747384,7750.759200
2015-06-13 08:37:26,39.652444,-77.920194,1056.741600
2015-06-13 08:38:03,39.604044,-77.739960,8181.746400
2015-06-13 08:39:17,39.601681,-77.732252,8629.802400
2015-06-13 08:40:32,39.598295,-77.724492,9083.649600
2015-06-13 08:41:40,39.595601,-77.717551,9513.722400
2015-06-13 08:44:08,39.591154,-77.700960,10462.869600
2015-06-13 08:45:22,39.590860,-77.692486,10972.800000
2015-06-13 08:46:36,39.590766,-77.681492,11461.699200
2015-06-13 08:47:50,39.590797,-77.669773,11932.615200
2015-06-13 08:49:04,39.590682,-77.658915,12418.771200
2015-06-13 08:50:18,39.587799,-77.649076,12876.580800
2015-06-13 08:51:27,39.584901,-77.640875,13314.578400
2015-06-13 08:52:41,39.582355,-77.632118,13826.642400
2015-06-13 08:53:17,39.582355,-77.632118,13826.642400
2015-06-13 08:53:55,39.579199,-77.623538,14370.710400
2015-06-13 08:55:09,39.572290,-77.615936,14817.547200
2015-06-13 08:56:23,39.566330,-77.611305,15162.580800
2015-06-13 08:57:37,39.561311,-77.602684,15552.724800
2015-06-13 08:58:51,39.555278,-77.600101,15859.658400
2015-06-13 09:00:05,39.556087,-77.598862,16274.796000
2015-06-13 09:01:10,39.555278,-77.600101,15859.658400
2015-06-13 09:01:19,39.557704,-77.594273,16611.600000
2015-06-13 09:02:33,39.553331,-77.588529,16983.760800
2015-06-13 09:03:49,39.546201,-77.584549,17237.659200
2015-06-13 09:05:01,39.538309,-77.582050,17507.712000
2015-06-13 09:06:15,39.531389,-77.583877,18001.488000
2015-06-13 09:07:29,39.527000,-77.589989,18330.672000
2015-06-13 09:08:43,39.525525,-77.594955,18661.684800
2015-06-13 09:09:57,39.522794,-77.595239,18997.574400
2015-06-13 09:11:11,39.519271,-77.597843,19301.764800
2015-06-13 09:12:26,39.515307,-77.600584,19576.694400
2015-06-13 09:14:53,39.509511,-77.612418,20194.524000
2015-06-13 09:16:08,39.508256,-77.614980,20500.543200
2015-06-13 09:17:21,39.506461,-77.619149,20807.476800
2015-06-13 09:18:35,39.506718,-77.625796,21118.677600
2015-06-13 09:19:49,39.506387,-77.629125,21432.621600
2015-06-13 09:21:03,39.502812,-77.633672,21734.678400
2015-06-13 09:22:17,39.498921,-77.639710,22048.622400
2015-06-13 09:23:31,39.496159,-77.647281,22379.635200
2015-06-13 09:24:45,39.492295,-77.654337,22723.449600
2015-06-13 09:25:59,39.489743,-77.663494,23058.424800
2015-06-13 09:27:13,39.485963,-77.671380,23389.437600
2015-06-13 09:28:27,39.481957,-77.680694,23729.594400
2015-06-13 09:29:41,39.480125,-77.690733,24081.638400
2015-06-13 09:32:09,39.477652,-77.708899,24708.612000
2015-06-13 09:33:08,39.477652,-77.708899,24708.612000
2015-06-13 09:33:23,39.477059,-77.719221,25049.683200
2015-06-13 09:34:18,39.477059,-77.719221,25049.683200
2015-06-13 09:34:37,39.477137,-77.730646,25387.401600
2015-06-13 09:35:51,39.477326,-77.739403,25708.660800
2015-06-13 09:37:05,39.477494,-77.748098,26065.581600
2015-06-13 09:38:19,39.477127,-77.757612,26430.427200
2015-06-13 09:40:47,39.475672,-77.776051,27104.644800
2015-06-13 09:42:01,39.473431,-77.784462,27452.421600
2015-06-13 09:44:29,39.470695,-77.802933,22471.684800
2015-06-13 09:45:43,39.468831,-77.808099,19993.660800
2015-06-13 09:46:57,39.466175,-77.812384,17951.500800
2015-06-13 09:48:12,39.459974,-77.808687,16200.729600
2015-06-13 09:49:25,39.456598,-77.804361,14687.702400
2015-06-13 09:50:40,39.451789,-77.798092,13308.787200
2015-06-13 09:53:08,39.449709,-77.780073,10870.692000
2015-06-13 09:54:21,39.447604,-77.772187,9773.716800
2015-06-13 09:59:18,39.436667,-77.734573,5734.812000
2015-06-13 10:00:32,39.434515,-77.723474,4831.689600
2015-06-13 10:01:40,39.435297,-77.715420,3993.794400
2015-06-13 10:02:54,39.434336,-77.705308,3181.807200
2015-06-13 10:05:23,39.422990,-77.684905,1809.902400
2015-06-13 13:11:12,39.416601,-77.442180,90.830400
2015-06-13 13:14:55,39.416532,-77.442128,107.899200
2015-06-13 13:40:44,39.170264,-77.243759,126.796800
2015-06-13 13:41:56,39.155406,-77.224259,125.882400
2015-06-13 13:42:55,39.170264,-77.243759,126.796800
